Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
40.0,41.0,36.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-3.0
36.0,39.0,36.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
37.0,39.0,37.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
39.5,39.5,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,-3.5
37.0,40.0,37.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
38.0,40.0,38.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
40.0,40.0,38.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
40.0,43.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
42.0,42.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
39.0,40.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
39.0,40.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39.0,42.0,39.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
41.0,44.0,41.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
40.0,43.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
40.0,42.0,40.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
40.0,42.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
41.0,43.0,40.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
40.0,42.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
40.0,41.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
